City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Maceio,BR,2022-04-13 03:59:55,-9.6658,-35.7353,74.64,88,0,3.44
163,Canete,CL,2022-04-13 03:59:55,-37.8,-73.4,44.64,79,1,4.92
164,Luena,AO,2022-04-13 03:59:56,-11.7833,19.9167,59.9,97,42,4.27
165,Miraflores,MX,2022-04-13 03:59:56,19.2167,-98.8083,70.03,58,78,4.29
166,Barrow,US,2022-04-13 03:59:57,71.2906,-156.7887,-6.74,93,21,5.37
167,Smithers,CA,2022-04-13 03:55:09,54.7804,-127.1743,26.92,31,20,11.5
168,Pangnirtung,CA,2022-04-13 03:59:57,66.1451,-65.7125,2.46,98,100,5.23
169,Pacifica,US,2022-04-13 03:59:57,37.6138,-122.4869,49.78,76,0,14.0
170,Lengshuijiang,CN,2022-04-13 03:59:58,27.6881,111.4294,59.11,85,100,7.34
171,Mahebourg,MU,2022-04-13 03:59:58,-20.4081,57.7,80.26,88,75,11.5
172,Port-Gentil,GA,2022-04-13 03:59:58,-0.7193,8.7815,79.83,84,100,7.65
173,Pundaguitan,PH,2022-04-13 03:59:59,6.3711,126.1689,84.04,67,100,7.96
174,Calabozo,VE,2022-04-13 04:00:00,8.9242,-67.4293,83.37,55,39,11.79
175,Khatanga,RU,2022-04-13 04:00:00,71.9667,102.5,13.75,82,100,12.17
176,Brest,BY,2022-04-13 03:55:13,52.1,23.7,35.31,76,1,4.12
177,Nikolskoye,RU,2022-04-13 04:00:02,59.7035,30.7861,35.87,86,8,3.15
178,Souillac,MU,2022-04-13 04:00:03,-20.5167,57.5167,77.68,81,72,18.61
179,Pathein,MM,2022-04-13 04:00:04,16.7833,94.7333,93.7,41,1,12.73
180,Galle,LK,2022-04-13 04:00:11,6.0367,80.217,84.06,73,97,3.6
181,Nizwa,OM,2022-04-13 04:00:14,22.9333,57.5333,90.14,11,0,2.17
182,Mayo,US,2022-04-13 04:00:31,38.8876,-76.5119,66.16,77,75,0.0
183,Saint George,US,2022-04-13 04:01:32,37.1041,-113.5841,48.94,14,0,10.36
184,Saint-Augustin,CA,2022-04-13 04:01:32,51.226,-58.6502,27.43,91,90,5.79
185,Bossangoa,CF,2022-04-13 04:01:33,6.4926,17.4552,72.12,85,82,3.24
186,Sakti,IN,2022-04-13 04:01:33,22.0333,82.9667,99.28,19,85,8.81
187,Caconda,AO,2022-04-13 04:01:33,-13.7333,15.0667,56.5,96,65,3.27
188,Uribia,CO,2022-04-13 04:01:34,11.7139,-72.266,79.34,73,84,21.79
189,Orlik,RU,2022-04-13 04:01:44,52.5178,99.825,16.47,67,100,1.86
190,Segezha,RU,2022-04-13 04:01:54,63.7415,34.3222,27.37,98,78,3.0
191,Talaya,RU,2022-04-13 04:01:55,61.3833,152.75,11.61,77,97,7.72
192,Geraldton,AU,2022-04-13 04:01:37,-28.7667,114.6,73.81,43,0,16.11
193,Tabou,CI,2022-04-13 04:01:55,4.423,-7.3528,78.24,90,89,7.83
194,Kalaleh,IR,2022-04-13 04:02:07,37.3807,55.4916,69.03,44,73,15.84
195,Cockburn Town,TC,2022-04-13 04:02:18,21.4612,-71.1419,77.22,77,94,25.68
196,Naze,JP,2022-04-13 04:02:18,28.3667,129.4833,70.09,87,37,10.09
197,Wanning,CN,2022-04-13 04:02:19,18.8003,110.3967,85.03,64,5,6.73
198,Conceicao Do Araguaia,BR,2022-04-13 04:02:20,-8.2578,-49.2647,73.26,95,78,4.43
199,Lindas,NO,2022-04-13 04:02:20,60.7381,5.16,39.78,78,100,6.24
200,Mount Gambier,AU,2022-04-13 04:02:37,-37.8333,140.7667,70.45,42,6,4.14
201,Redmond,US,2022-04-13 04:00:04,47.674,-122.1215,41.05,80,100,8.01
202,Makakilo City,US,2022-04-13 04:02:58,21.3469,-158.0858,75.69,69,69,13.02
203,Sinnamary,GF,2022-04-13 04:02:59,5.3833,-52.95,77.47,87,89,10.4
204,Guerrero Negro,MX,2022-04-13 04:02:59,27.9769,-114.0611,58.3,65,1,20.11
205,Namatanai,PG,2022-04-13 04:03:00,-3.6667,152.4333,85.62,65,52,8.93
206,Palmer,US,2022-04-13 03:59:09,42.1584,-72.3287,51.93,69,79,2.15
207,Alepe,CI,2022-04-13 04:03:01,5.5004,-3.6631,76.87,91,100,2.62
208,Arman,RU,2022-04-13 04:03:11,59.7,150.1667,32.02,53,83,6.04
209,Mayumba,GA,2022-04-13 04:03:12,-3.432,10.6554,76.44,91,97,4.88
210,Lavrentiya,RU,2022-04-13 04:03:22,65.5833,-171.0,17.71,87,95,10.49
211,Saskylakh,RU,2022-04-13 04:03:33,71.9167,114.0833,1.47,93,71,9.13
212,Ancud,CL,2022-04-13 04:03:33,-41.8697,-73.8203,50.23,84,100,1.14
213,Marsh Harbour,BS,2022-04-13 04:03:44,26.5412,-77.0636,73.9,63,38,17.81
214,Nurota,UZ,2022-04-13 04:03:54,40.5614,65.6886,70.84,42,0,1.72
215,Flin Flon,CA,2022-04-13 04:03:55,54.7682,-101.865,14.88,87,47,9.04
216,Magaria,NE,2022-04-13 03:59:08,12.9983,8.9099,77.59,62,30,9.42
217,Matiri,TZ,2022-04-13 04:03:55,-10.75,34.9,59.99,96,97,4.03
218,Alofi,NU,2022-04-13 04:03:56,-19.0595,-169.9187,81.9,72,98,5.44
219,Wieliczka,PL,2022-04-13 04:03:56,49.9874,20.0647,36.09,78,7,3.44
220,Cayenne,GF,2022-04-13 03:59:19,4.9333,-52.3333,81.09,1,100,10.36
221,Porto Velho,BR,2022-04-13 04:03:57,-8.7619,-63.9039,77.05,94,75,2.3
222,Zhigansk,RU,2022-04-13 04:03:57,66.7697,123.3711,11.21,75,100,4.12
